iter	MAPE	Quantile:alpha=0.5
665	0.1039663711	0.1020019248
666	0.1039345228	0.1019436678
667	0.1037831886	0.1018206398
668	0.103727072	0.101750873
669	0.1036902346	0.1017131509
670	0.1035819374	0.1016202646
671	0.1034857395	0.1015325525
672	0.1033873574	0.1014538683
673	0.1032842752	0.1013447791
674	0.1032017292	0.1012657167
675	0.1031596953	0.1012136331
676	0.1030116022	0.1010700209
677	0.1029316248	0.1009920815
678	0.1028681316	0.100924363
679	0.1028175288	0.1008633192
680	0.1026373494	0.1007240989
681	0.1025216202	0.1006118952
682	0.1024088433	0.1004811396
683	0.1023408897	0.1004018623
684	0.1022850456	0.100355511
685	0.1022159312	0.1002919778
686	0.1020115495	0.1001427707
687	0.1019503341	0.1000909231
688	0.1018779118	0.09998952645
689	0.101833293	0.09992427351
690	0.101722444	0.09984048028
691	0.1016368398	0.0997495713
692	0.1015401564	0.09962645331
693	0.1014804808	0.09954939155
694	0.1014576134	0.09950575152
695	0.1013965811	0.09943750804
696	0.1012630841	0.09929855091
697	0.101227551	0.09926311742
698	0.101088874	0.09914912266
699	0.1009712069	0.0990457925
700	0.1009201054	0.09898239626
701	0.100857812	0.09891531231
702	0.1008001034	0.09883219639
703	0.1006322871	0.09868876015
704	0.1005991042	0.09864053775
705	0.1005034188	0.09855372245
706	0.1004111872	0.09847408989
707	0.1002170434	0.09833296485
708	0.1001025066	0.09822106315
709	0.1000514864	0.09816303
710	0.09993661674	0.0980401892
711	0.09977579015	0.09791491227
712	0.09972734461	0.09786607233
713	0.09964147755	0.09779541367
714	0.09957793402	0.09769186895
715	0.09944302918	0.09756023377
716	0.09908128401	0.09729913029
717	0.09894279361	0.09719586739
718	0.09886793733	0.09710572128
719	0.09862617605	0.09692229185
720	0.09854998843	0.09683125045
721	0.09841024151	0.09671869957
722	0.09824976401	0.0966033143
723	0.09822763901	0.09656548708
724	0.09820654134	0.09652594697
725	0.09815127815	0.09646109494
726	0.09809725918	0.09639737765
727	0.0979809956	0.09630096979
728	0.09787773676	0.096220197
729	0.0978038855	0.09611986564
730	0.09769656038	0.09603092732
731	0.0974389923	0.09583234394
732	0.09741737321	0.09579314048
733	0.09739557593	0.09575501185
734	0.09731043545	0.09567324143
735	0.09726348178	0.0956181895
736	0.09710054337	0.09551000539
737	0.09695895534	0.09538560463
738	0.09691625651	0.09531855038
739	0.09682185112	0.09524484673
740	0.09673725968	0.09516748036
741	0.09666173253	0.09509843362
742	0.0965593112	0.09502247319
743	0.09652462939	0.0949628303
744	0.09636421392	0.09480727977
745	0.09626936262	0.09471336136
746	0.09612631307	0.09455824411
747	0.09600812916	0.09446728677
748	0.09594387668	0.0943945779
749	0.09589429436	0.09433882733
750	0.09585686587	0.09428751348
751	0.09574985492	0.09420363805
752	0.09559072322	0.09406338802
753	0.09547361665	0.09396868588
754	0.09536888901	0.09386817785
755	0.09534750147	0.09383301275
756	0.09530414408	0.09377558446
757	0.09511442132	0.09361008617
758	0.09504611088	0.0935432744
759	0.09493843232	0.09344717163
760	0.09484569519	0.09336499919
761	0.09480458603	0.09329462867
762	0.09473263303	0.09320848593
763	0.09469216674	0.09315068867
764	0.09458857603	0.09306628817
765	0.09449936089	0.09297984998
766	0.09438776975	0.09288017945
767	0.09426545529	0.09277987078
768	0.09422016949	0.09271991005
769	0.09416818235	0.09266457012
770	0.09414426305	0.09262313534
771	0.09400331175	0.09251117751
772	0.09398748613	0.09247428788
773	0.09396492688	0.0924396603
774	0.09391468857	0.09238706084
775	0.09369726581	0.09221734293
776	0.09360982923	0.09211632812
777	0.09346748307	0.09199424845
778	0.09341735684	0.09193917221
779	0.09337969656	0.09190256227
780	0.09329172612	0.09182315607
